author,comments,name,press,price,rank
思睿,100613条评论,唐诗三百首 小学生 成长必读 绘本 注音版,北方妇女儿童出版社,¥22.00,230.
毛姆,197790条评论,译文经典精装系列·月亮和六便士(看“一本好书”，在当当享阅读之,上海译文出版社,¥36.00,231.
杰里·斯皮内利,40337条评论,长青藤国际大奖小说书系：想赢的男孩,云南出版集团公司 晨光出版社,¥15.00,232.
克莱儿·麦克福尔,323687条评论,摆渡人2：重返荒原（每一个镌刻着爱与善意的灵魂，都会成为我们生,百花洲文艺出版社,¥21.40,257.
乔纳森·斯威夫特,39570条评论,格列佛游记（新课标，翻译家白马先生全译本，非改写&非编译，快跟,浙江工商大学出版社,¥16.10,258.
吴承恩,72461条评论,西游记 (新课标 青少版),浙江教育出版社,¥17.40,259.
保罗·柯艾略,393085条评论,牧羊少年奇幻之旅（央视《朗读者》、湖南卫视《天天向上》、黄轩,北京十月文艺出版社,¥26.30,184.
David,103558条评论,DK万物运转的秘密（斩获文津奖、安万特图书奖，从生活细微处着手,电子工业出版社,¥86.90,185.
林海音,63860条评论,城南旧事：一部触动千万读者灵魂的童年离骚,江苏人民出版社,¥19.30,172.
张乐平,338437条评论,三毛流浪记（彩图注音读物）,少年儿童出版社,¥29.60,173.
米切尔·恩德,134857条评论,永远讲不完的故事(新译本),２１世纪出版社,¥33.10,174.
莫里斯·梅特林克,27694条评论,青鸟（新课标。北大著名翻译家、2012年“傅雷翻译出版奖”获得者,浙江工商大学出版社,¥12.70,272.
李宗吾,110272条评论,厚黑学(李宗吾著),群言出版社,¥19.30,273.
王一梅,9716条评论,打动孩子心灵的中国经典-鼹鼠的月亮河,中国少年儿童出版社,¥18.20,274.
冯骥才,60744条评论,俗世奇人（足本）（第七届鲁迅文学奖获奖作品）,人民文学出版社,¥17.10,201.
申惠恩,67651条评论,你好！数学套装珍藏版（套装30本）,湖北少儿出版社,¥151.60,285.
林世仁,86216条评论,字的童话（全7册）,贵州人民出版社,¥69.70,286.
哈珀.李,225255条评论,杀死一只知更鸟（纪念版）,译林出版社,¥25.10,287.
董卿,67986条评论,朗读者（青少版） 人民文学出版社,人民文学出版社,¥30.80,288.
弗朗西丝·霍奇森·伯内特,69740条评论,秘密花园(新课标，翻译文化终身成就奖获得者李文俊倾情翻译),北京联合出版公司,¥15.20,233.
史蒂芬·霍金,429420条评论,时间简史（插图本）（央视《朗读者》推荐）,湖南科技出版社,¥31.05,234.
艾德兰,132018条评论,我们的身体,未来出版社,¥105.30,235.
张爱玲,256630条评论,张爱玲全集01：倾城之恋（2012年全新修订版，收录《金锁记》《第,北京十月文艺出版社,¥26.30,260.
松田孝,10928条评论,孩子看的编程启蒙书（全4册）,青岛出版社,¥65.00,186.
杰奎琳·凯利,83条评论,达尔文女孩,贵州人民出版社,¥23.40,187.
贾平凹,615227条评论,自在独行     贾平凹的独行世界,长江文艺出版社,¥21.50,188.
郑渊洁,29918条评论,舒克贝塔传（全10册）,浙江少年儿童出版社,¥120.70,175.
希利尔,166408条评论,希利尔讲世界史、世界地理、艺术史 套装,贵州教育出版社,¥90.50,176.
图说天下·国家地理,127637条评论,走遍中国 图说天下 国家地理,北京联合出版公司,¥13.70,177.
鲁迅,115046条评论,阿Q正传（“精神胜利法”的悲喜剧，另收录《狂人日记》等鲁迅名篇,北京联合出版公司,¥13.20,275.
周霞,9786条评论,拼音真好玩（全彩6册）（从幼小衔接到一年级，拼音学习必备启蒙书,电子工业出版社,¥67.30,276.
欧内斯特米勒尔海明威,148749条评论,老人与海（人可以被毁灭，却不可以被战胜。后附《太阳照常升起》,作家出版社,¥18.50,277.
